תאריך,נייר/תנועה,מס' נייר/תנועה,פעולה,כמות,מחיר,זכות נטו,חובה נטו,עמלה,יתרה,אסמכתא
1 בינו׳ 2021,איפוס מגן מס,9993983,משיכה,127.44,100,0,0,0,166.46,9993983
31 בינו׳ 2021,31/01/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,151.46,0
31 בינו׳ 2021,מגן מס,9992983,הפקדה,3.74,100,0,0,0,151.46,0
28 בפבר׳ 2021,28/02/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,136.46,0
28 בפבר׳ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,136.46,0
31 במרץ 2021,31/03/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,121.46,0
31 במרץ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,121.46,0
30 באפר׳ 2021,30/04/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,106.46,0
30 באפר׳ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,106.46,0
31 במאי 2021,31/05/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,91.46,0
31 במאי 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,91.46,0
16 ביוני 2021,URTH US    /דיב,99028,הפ/דיב,84.73,323.9,0,0,0,91.46,0
16 ביוני 2021,URTH US    /מסח,99028,מש/מסח,21.18,323.9,0,0,0,91.46,0
30 ביוני 2021,30/06/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,76.46,0
30 ביוני 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,76.46,0
31 ביולי 2021,31/07/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,61.46,0
31 ביולי 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,61.46,0
31 באוג׳ 2021,31/08/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,46.46,0
31 באוג׳ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,46.46,0
30 בספט׳ 2021,30/09/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,31.46,0
30 בספט׳ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,31.46,0
31 באוק׳ 2021,31/10/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,16.46,0
31 באוק׳ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,16.46,0
30 בנוב׳ 2021,30/11/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,1.46,0
30 בנוב׳ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,1.46,0
17 בדצמ׳ 2021,URTH US    /דיב,99028,הפ/דיב,81.13,311.5,0,0,0,1.46,0
17 בדצמ׳ 2021,URTH US    /מסח,99028,מש/מסח,20.28,311.5,0,0,0,1.46,0
31 בדצמ׳ 2021,31/12/21 דמי שימוש/ניהול חשבון,900,ד.טפול,0,0,0,15,0,-13.54,0
31 בדצמ׳ 2021,מגן מס,9992983,הפקדה,3.75,100,0,0,0,-13.54,0
